name,phone,address,website,rating,user_ratings_total
REMAX MUTLU,(0216) 359 08 08,"Göztepe, Bağdat Cad. NO:227/3, 34000 Kadıköy/İstanbul, Türkiye",http://www.remax.com.tr/mutlu,4.6,58
Taş Emlak Ofisi,(0216) 545 89 62,"Hasanpaşa, Taşocağı Sokağı 11/1, 34722 Kadıköy/İstanbul, Türkiye",,4.1,23
ASYALI EMLAK KADIKÖY,(0216) 345 94 35,"Eğitim Ünal Sokak No:E3, Eğitim, 34722 Kadıköy/İstanbul, Türkiye",http://www.asyaliemlak.com/,5,9
Merttürk Emlak,(0216) 416 01 46,"43/A Gaziethempasa Sok. No, Kozyatağı, Can Sk. No:24, 34742 Kadıköy/İstanbul, Türkiye",https://mertturkemlak.sahibinden.com/,5,5
TURYAP KADIKÖY FENERYOLU GAYRİMENKUL,0532 343 36 54,"Göztepe, Mustafa Mazhar Bey Sokağı Polvan Ap No: 28/2, 34724 Kadıköy/İstanbul, Türkiye",http://turyap.com.tr/feneryolu,5,12
EMR GAYRİMENKUL - Emir Ahmet Özbek,0530 360 00 07,"Göztepe, Mustafa Kaya Sokağı Yüzüncü Yıl Apt. No:7, 34744 Kadıköy/İstanbul, Türkiye",https://emrgayrimenkul34.sahibinden.com/,5,17
SNR PROJE EMLAKÇI SATIŞ OFİSİ,0532 321 71 88,"Göztepe, Nadirağa Sk. 50.YIL APT NO.10/G, 34730 Kadıköy/İstanbul, Türkiye",http://www.snrproje.net/,4.6,19
Kadıköy Emlak ve İç Mimarlık,0530 449 43 84,"Dumlupınar, Melih Cevdet Anday Sokağı No:4A, 34734 Kadıköy/İstanbul, Türkiye",,5,5
CADDE TIME GAYRİMENKUL,0533 665 51 51,"Göztepe Mah DR, ATAPOL APT, Göztepe, Prof. Mustafa Reşit Belgesay Sk. 23/B, 34730 Kadıköy/İstanbul, Türkiye",https://caddetime.sahibinden.com/,4.8,6
Beyaz Saray Emlak,(0216) 566 29 79,"Hızırbey Caddesi, Dumlupınar, Mektep Sk. 1/A, 34720 Kadıköy/İstanbul, Türkiye",https://beyazsarayemlak.sahibinden.com/,5,11
Coldwell Banker Mayor Gayrimenkul,(0216) 232 20 01,"Bostancı, Prof. Dr. Kemal Akgüder Cd. No:2/A, 34744 Kadıköy/İstanbul, Türkiye",http://www.cb.com.tr/mayor,4.9,23
Neta Emlak Hizmetleri,(0216) 418 46 06,"Caferağa, Gen. Asım Gündüz Cd. No:75, 34710 Kadıköy/İstanbul, Türkiye",,3.6,44
Bahariye Emlak,(0216) 338 92 72,"Caferağa, Serasker Cd. Aybek İş Hanı No:8 D:69, 34714 Kadıköy/İstanbul, Türkiye",,3.6,21
Kahraman Emlak,0533 212 22 00,"Caferağa, Dr. Esat Işık Cd. No:19, 34710 Kadıköy/İstanbul, Türkiye",https://kahramangayrimenkulmoda.sahibinden.com/,5,7
ERGÜN GAYRİMENKUL,0543 132 52 52,"Göztepe, Perçem Sk. No:19, 34730 Kadıköy/İstanbul, Türkiye",,5,5
Sunar emlak,0535 557 44 49,"Rasimpaşa, Recaizade Sk. No:83, 34716 Kadıköy/İstanbul, Türkiye",,4.9,7
Ataşehir Gayrimenkul,0507 963 19 03,"Atatürk Mahallesi, Sedef Caddesi Ata Blokları Ata 3/1 No: 58, Atatürk, 34758 Ataşehir/İstanbul, Türkiye",http://www.atasehirgayrimenkul.com/,4.9,34
Ataşehir Emlak Müşavirliği İstanbul TÜRKİYE,0555 579 10 81,"İçerenköy, Mutlu Sk. No:2 D:b, 34752 Ataşehir/İstanbul, Türkiye",https://www.atasehiremlak.com/,4.9,41
Ruşen Er Ticari Gayrimenkul Uzmanı: Bina Arsa Depo Fabrika Lüks Konut Ataşehir,0532 051 90 43,"Keller Williams Fores, Denge Panorama Kat:B2, Küçükbakkalköy, Küçük Setli Sok. No:5, 34636 Ataşehir/İstanbul, Türkiye",https://ermaxteam.sahibinden.com/,5,68
ASEDAS EMLAK ATAŞEHİR,,"Atatürk, Sedef Cd. No:3 Ata 2-1 Blok K1, D:161, 34758 Ataşehir/İstanbul, Türkiye",https://asedas.sahibinden.com/,4.5,85
RE/MAX CEM GAYRİMENKUL EMLAK ATAŞEHİR MALTEPE KÜÇÜKYALI,0532 335 93 02,"Küçükbakkalköy, Ozan Veysel Sokağı No: 11, Da: 1-2, 34750 Ataşehir/İstanbul, Türkiye",https://www.remax.com.tr/danisman/29605/cem-tarlabasi,5,39
